Mean,Kurtosis,Date,Ligand,Cell,Time,Skew,Variance,Dose
1160.365234375,69.18728637695312,2019-3-19,IL2,Naive Th,4.0,7.849974155426025,20449838.0,0.012803
261.59912109375,0.5962541103363037,2019-3-19,IL2,Naive Th,4.0,0.8517690300941467,1571598.375,0.004268
0.0,1.278414249420166,2019-3-19,IL2,Naive Th,4.0,1.1694000959396362,1722097.0,0.001423
1194.962646484375,10.332712173461914,2019-3-19,IL2,Naive Th,4.0,2.5012741088867188,5337325.5,0.000474
14893.0166015625,339.16986083984375,2019-3-19,IL2,Tcells,2.0,8.07984733581543,369663072.0,84.0
17423.369140625,1.2489657402038574,2019-3-19,IL2,Tcells,2.0,1.2506442070007324,391708224.0,28.0
18459.873046875,1.1479320526123047,2019-3-19,IL2,Tcells,2.0,1.2359882593154907,443546496.0,9.333333
15810.0849609375,7.84519100189209,2019-3-19,IL2,Tcells,2.0,2.063300132751465,315673440.0,3.111
11052.19921875,5.02584171295166,2019-3-19,IL2,Tcells,2.0,1.9697747230529785,183844784.0,1.037037
6995.8046875,14.666915893554688,2019-3-19,IL2,Tcells,2.0,3.51208758354187,186244448.0,0.345679
5448.10546875,25.663957595825195,2019-3-19,IL2,Tcells,2.0,5.033441066741943,334699648.0,0.115226
1598.113525390625,56.54070281982422,2019-3-19,IL2,Tcells,2.0,7.264495849609375,43685792.0,0.038409
1160.365234375,69.18728637695312,2019-3-19,IL2,Tcells,2.0,7.849974155426025,20449838.0,0.012803
261.59912109375,0.5962541103363037,2019-3-19,IL2,Tcells,2.0,0.8517690300941467,1571598.375,0.004268
0.0,1.278414249420166,2019-3-19,IL2,Tcells,2.0,1.1694000959396362,1722097.0,0.001423
1194.962646484375,10.332712173461914,2019-3-19,IL2,Tcells,2.0,2.5012741088867188,5337325.5,0.000474
20351.041015625,39.98347854614258,2019-3-19,IL2,T-regs,2.0,2.7399520874023438,733883392.0,84.0
19983.216796875,1.655250072479248,2019-3-19,IL2,T-regs,2.0,1.378067970275879,679923968.0,28.0
21814.240234375,0.47095799446105957,2019-3-19,IL2,T-regs,2.0,0.7729262113571167,455921088.0,9.333333
20362.203125,0.7339708805084229,2019-3-19,IL2,T-regs,2.0,0.536270260810852,270229216.0,3.111
7178.77099609375,0.5265345573425293,2019-3-19,IL2,T-regs,2.0,0.9252266883850098,46222024.0,1.037037
4242.35986328125,32.794742584228516,2019-3-19,IL2,T-regs,2.0,5.334524631500244,115929576.0,0.345679
2252.02734375,32.08647918701172,2019-3-19,IL2,T-regs,2.0,5.243679046630859,83194496.0,0.115226
613.9287109375,139.69862365722656,2019-3-19,IL2,T-regs,2.0,9.893898963928223,16749989.0,0.038409
367.3642578125,67.67669677734375,2019-3-19,IL2,T-regs,2.0,6.4397783279418945,8762278.0,0.012803
216.42529296875,93.40017700195312,2019-3-19,IL2,T-regs,2.0,7.889461517333984,8960021.0,0.004268
0.0,45.98247528076172,2019-3-19,IL2,T-regs,2.0,5.691872596740723,8682289.0,0.001423
566.2802734375,20.46523666381836,2019-3-19,IL2,T-regs,2.0,3.7524313926696777,8607766.0,0.000474
67539.6328125,0.13498830795288086,2019-3-19,IL2,Mem Treg,2.0,-0.5638284683227539,780200896.0,84.0
64720.58984375,-0.02295827865600586,2019-3-19,IL2,Mem Treg,2.0,-0.5555155277252197,795299648.0,28.0
66802.125,0.7583606243133545,2019-3-19,IL2,Mem Treg,2.0,-0.7695589661598206,634604800.0,9.333333
62623.12109375,0.6827845573425293,2019-3-19,IL2,Mem Treg,2.0,-1.2588369846343994,734182400.0,3.111
10242.833984375,-3.0,2019-3-19,IL2,Mem Treg,2.0,0.0,0.0,1.037037
45042.83203125,-1.0174369812011719,2019-3-19,IL2,Mem Treg,2.0,-0.5696640014648438,753302144.0,0.345679
32530.583984375,-0.9273076057434082,2019-3-19,IL2,Mem Treg,2.0,0.37234899401664734,655952768.0,0.115226
39577.5,-1.4999998807907104,2019-3-19,IL2,Mem Treg,2.0,0.5392860174179077,316142880.0,0.038409
4451.33349609375,0.04216122627258301,2019-3-19,IL2,Mem Treg,2.0,1.1726205348968506,182277296.0,0.012803
6036.58349609375,-0.7711617946624756,2019-3-19,IL2,Mem Treg,2.0,1.0356497764587402,194456992.0,0.004268
